"","state","county","year_court_estab","felonies","misdemeanors","court","year","population","per_capita_income","percent_employed","prop_17","prop_64","prop_65","graduate_hs","graduate_college","death_rate","percent_male","percent_white","percent_black","average_age","avg_never_married","avg_married","avg_divorced","percent_below_pov","unemployment_rate","homelessness_count","county_fips","years_since","percent_homeless","county_state_code","Group","match"
"69","NV","Douglas",0,0,0,0,2007,45775,17620,0.63038683,0.25588885,0.62282449,0.12128668,0.85804278,0.25915617,73,0.50305748,0.94547164,0.0031117704,37.228462,0.17714286,0.64464575,0.11238095,0.057494607,5,246,5,0,53.741123,"500176200",FALSE,1
"70","MI","Eaton",0,0,0,0,2007,107157,14896,0.25173613,0.27593967,0.62482369,0.099236645,0.85260606,0.25147259,75,0.48572874,0.94261348,0.035637766,34.981544,0.23776194,0.60537857,0.086350933,0.05278825,5.3,197,45,0,18.384239,"4500148960",FALSE,1
"71","CA","Eldorado",2001,0,0,1,2007,175752,15703,0.2302393,0.26385969,0.6175245,0.11861582,0.84907365,0.28055796,70,0.50016272,0.94541848,0.0048097149,36.612278,0.19444673,0.63585728,0.099444054,0.05831448,5.1,107,17,0,6.0881243,"1700157030",TRUE,1
"72","CO","Elpaso",0,0,0,0,2007,585518,13664,0.44171491,0.27562252,0.64459693,0.079780564,0.87743455,0.30670011,55,0.50208306,0.85991931,0.072020128,32.926392,0.2435687,0.58817989,0.099596068,0.081419066,4.2,1077,41,0,18.393969,"4100136640",FALSE,1
"73","TX","Elpaso",0,0,0,0,2007,727828,9150,0.31630972,0.32591066,0.59250349,0.081585839,0.64476067,0.17759965,57,0.48613444,0.76488227,0.037372593,31.696875,0.28600779,0.54846114,0.082124688,0.22388402,5.9,1241,141,0,17.050732,"1410091500",FALSE,1
"74","PA","Erie",2002,1,1,1,2007,279804,12317,0.41189235,0.25923172,0.60278255,0.13798572,0.78251213,0.19892141,96,0.48252726,0.93579537,0.051906578,36.38662,0.28346705,0.5375492,0.073666207,0.095383368,5,393,49,5,14.045547,"4900123170",TRUE,1
"75","MA","Essex",0,0,0,0,2007,733066,17586,0.38047546,0.23665383,0.62205857,0.14128761,0.80119973,0.3175182,92,0.47745195,0.91993046,0.023592705,37.577976,0.29054296,0.53176254,0.072633408,0.074793644,4.8,236,9,0,3.2193553,"900175860",FALSE,1
"76","LA","Evangeline",0,0,0,0,2007,35834,7041,0.17812707,0.31526116,0.55166197,0.13307688,0.491245,0.1087901,104,0.47869208,0.73345554,0.26149547,35.098366,0.21994099,0.57978857,0.062658802,0.31366956,4.9,631,39,0,176.08975,"390070410",FALSE,1
"77","VA","Fairfax",0,0,0,0,2007,1005531,24833,0.49015006,0.24440742,0.69018209,0.065410517,0.90079308,0.51113188,42,0.49722081,0.81286585,0.0773592,34.46423,0.28533232,0.58286625,0.070411518,0.021998482,2.4,1593,59,0,15.842376,"5900248330",FALSE,1
"78","CT","Fairfield",0,0,0,0,2007,889067,26161,0.49779314,0.22609331,0.6409173,0.13298939,0.81031883,0.37610039,84,0.48169446,0.84619612,0.098495126,38.085812,0.28791606,0.54969561,0.070840441,0.044633105,3.9,919,1,0,10.336679,"100261610",FALSE,1
